Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Слюсар,Варфоломій,Володимирович,Чоловік,1981-09-08,Няня,Голубівка,"сквер Листяний, буд. 703 кв. 86, Судак , 91279",+380 29 020-20-52,ilienkosviatoslava@example.org
Асаула,Остап,Олексійович,Чоловік,2004-10-12,Стропальник,Жданівка,"площа 19-й км Старокиївської дороги, буд. 2, Новомосковськ, 02016",+380 08 130 35 71,ostap37@example.org
Євтушенко,Остап,Сергійович,Чоловік,1948-07-07,Клавішник,Попасна,"узвіз Матеріальний 1-й, буд. 08, Дніпрорудне, 28359",+380 33 801 38 39,hryhorii51@example.com
Царенко,Омелян,Петрович,Чоловік,1972-09-15,Продюсер,Гайворон,"вулиця Бориса Літвака, буд. 482 кв. 7, Молочанськ, 76156",+380 (80) 682-17-94,ckorpaniuk@example.net
Акуленко,Петро,Андрійович,Чоловік,1988-06-20,Прокурор,Новоград-Волинський,"площа Лиманчик 2-й Лінія 2-га, буд. 011, Коломия, 10199",+380 55 835 59 79,trokhymreva@example.org
Рубан,Степан,Андрійович,Чоловік,1972-12-20,Громадський діяч,Бердичів,"вулиця Польовий 1-й, буд. 56 кв. 8, Заводське, 02024",+380 (39) 951-93-22,averchenkosolomiia@example.org
Тесленко,Герман,Сергійович,Чоловік,1964-11-09,Етнограф,Гола Пристань,"вулиця Квітковий, буд. 05 кв. 69, Бібрка, 16643",+380 42 121-95-38,kostiantynandreiko@example.com
Самойленко,Віталій,Петрович,Чоловік,1967-07-07,Вчитель,Борзна,"сквер Віри Фігнер, буд. 696 кв. 30, Ізмаїл, 06722",+380 59 583-65-21,zmatiash@example.net
Ярош,Роман,Сергійович,Чоловік,2007-12-13,Електрослюсар,Середина-Буда,"парк Шовкуненка, буд. 1, Сімферополь, 50599",820 13 41,gtsiutsiura@example.com
Шеремета,Семен,Олексійович,Чоловік,1951-10-22,Письменник,Карлівка,"узвіз Космонавта Комарова, буд. 177, Броди, 93620",371 91 72,artem49@example.org
Вакуленко,Ярема,Петрович,Чоловік,1983-03-17,Няня,Вільногірськ,"узвіз Зоряна, буд. 0 кв. 2, Чортків, 47308",+380 13 710-41-48,marko60@example.com
Баштан,Орест,Петрович,Чоловік,1983-11-23,Парфюмер,Новоселиця,"сквер Кленова, буд. 652, Харцизьк, 08102",044-38-30,shynkarenkovladyslav@example.com
Супруненко,Августин,Петрович,Чоловік,1948-12-11,Бізнесмен,Козятин,"шосе Топольського, буд. 886, Мелітополь, 29291",059 632-49-57,demianchukboleslav@example.com
Забарна,Микита,Миколайович,Чоловік,1984-08-16,Інженер,Дунаївці,"набережна Левадна, буд. 05, Попасна, 54303",+380 51 143-81-64,abramchukanastasiia@example.net
Чумак,Гордій,Петрович,Чоловік,2004-06-05,Лікар,Устилуг,"набережна Василя Кандинського 2-й, буд. 575 кв. 95, Сватове, 16951",094 917-88-86,riabchenkokostiantyn@example.com
Адамчук,Едуард,Миколайович,Чоловік,1989-05-31,Геолог,Південне ,"набережна Сабанський, буд. 994 кв. 66, Донецьк, 30810",008 797-47-34,xmykhailychenko@example.net
Вернигора,Арсен,Андрійович,Чоловік,1969-02-21,Складальник,Копичинці,"проспект Економічний, буд. 44, Золотоноша, 74229",+380 98 290 11 80,nataliia20@example.org
Єресько,Трохим,Іванович,Чоловік,2003-06-08,Петрограф,Гуляйполе,"вулиця Педагогічна, буд. 086, Вільнянськ, 53164",145 39 33,otereshchenko@example.net
Фоменко,Гордій,Петрович,Чоловік,1972-06-15,Патологоанатом,Бахмач,"сквер Овідіопольська дорога, буд. 574 кв. 585, Кролевець, 33178",+380 22 574 91 40,nestorbabychenko@example.org
Заєць,Борис,Петрович,Чоловік,1945-07-27,Дантист,Бережани,"площа Педагогічна, буд. 492 кв. 1, Семенівка, 18669",051 858-38-79,boryslav64@example.net
Михайлюк,Варфоломій,Олексійович,Чоловік,1974-11-16,Скульптор,Чернігів,"парк Стахановський 4-й, буд. 77 кв. 3, Монастириська, 84839",+380 06 856-06-27,amaliia77@example.net
Бабариченко,Варфоломій,Андрійович,Чоловік,1994-09-16,Композитор,Гола Пристань,"сквер Кренкеля, буд. 871 кв. 44, Сніжне, 61133",727-98-68,zakhar03@example.net
Сомко,Максим,Володимирович,Чоловік,2002-07-08,Фермер,Переяслав,"проспект Відважних, буд. 5, Ананьїв, 46320",000 03 05,nsymonenko@example.org
Носенко,Владислав,Андрійович,Чоловік,2004-12-24,Кінолог,Костопіль,"проспект Палубний, буд. 0 кв. 99, Харків, 68882",+380 63 459 89 35,milenavasylashko@example.org
Бабак,Панас,Олексійович,Чоловік,2002-12-27,Інженер,Сорокине,"узвіз Грузинська, буд. 830 кв. 18, Старобільськ, 23075",007 448-52-69,orynakhomenko@example.org
Сірченко,Пантелеймон,Андрійович,Чоловік,1986-01-24,Історик,Красилів,"площа Лінія 25-та, буд. 597 кв. 9, Кобеляки, 63090",+380 67 602 61 55,zveres@example.org
Уманець,Кирило,Володимирович,Чоловік,1978-09-25,Кіноактор,Чоп,"вулиця Асташкіна, буд. 971 кв. 598, Шостка, 54273",+380 10 296-59-90,babenkodemian@example.net
Ярош,Владислав,Володимирович,Чоловік,1999-10-29,Диригент,Берестечко,"проспект Юхима Геллера, буд. 70 кв. 6, Антрацит , 44798",+380 (25) 892-07-26,vskyrda@example.org
Алексійчук,Миколай,Миколайович,Чоловік,1980-03-14,Скульптор,Іловайськ,"парк Василя Кандинського 2-й, буд. 6, Євпаторія, 31391",+380 41 500-82-02,sviatoslava44@example.net
Аверченко,Миколай,Володимирович,Чоловік,1980-06-21,Геофізик,Люботин,"сквер Мацієвської, буд. 607, Вараш, 26760",+380 41 046-40-41,hvatamaniuk@example.com
Єсипенко,Тимофій,Андрійович,Чоловік,1958-08-10,Бізнесмен,Вараш,"провулок Степана Олійника узвіз, буд. 413 кв. 751, Камінь-Каширський, 65059",415-20-70,shtokaloazar@example.org
Килимник,Борислав,Іванович,Чоловік,1962-08-30,Інженер,Снятин,"вулиця Чайковського, буд. 91 кв. 345, Красноград, 07006",375-61-13,milena65@example.org
Журба,Омелян,Петрович,Чоловік,1987-02-04,Антрополог,Радомишль,"вулиця Кришталевий, буд. 44 кв. 9, Хрустальний, 61855",+380 79 790-72-47,jshylo@example.org
Карпа,Марко,Миколайович,Чоловік,1987-05-20,Архітектор,Зугрес,"проспект Нерубайська, буд. 4 кв. 70, Снігурівка, 08898",035 752-50-65,iatsenkonazar@example.com
Бездітко,Спас,Іванович,Чоловік,1969-10-02,Історик,Перемишляни,"парк Сливова, буд. 251, Новодружеськ, 35570",009 070-07-75,trokhym20@example.com
Даценко,Федір,Петрович,Чоловік,1946-04-18,Кухар,Кадіївка,"узвіз Локомотивний 4-й, буд. 71, Рудки, 74528",741 88 26,vasylynasvyrydenko@example.com
Слюсар,Макар,Володимирович,Чоловік,1995-02-08,Детектив,Дунаївці,"проспект Прокатна, буд. 42, Нове Давидково, 23745",062 433 33 77,cshmorhun@example.net
Овчаренко,Йосип,Олексійович,Чоловік,1942-05-05,Сантехнік,Борзна,"сквер Вапняний 2-й, буд. 054, Мукачево, 23116",085 049 01 07,sirkoiustyna@example.com
Батіг,Василь,Олексійович,Чоловік,1948-04-30,Доцент,Святогірськ,"вулиця Озерна, буд. 14, Трускавець, 80305",019 14 41,olehbashpolchenko@example.org
Юрчишина,Аарон,Іванович,Чоловік,1981-10-28,Астронавт,Свалява,"вулиця Князівська, буд. 615, Охтирка, 13115",+380 93 795 33 53,zaichenkotymofii@example.com
Чабан,Артем,Олексійович,Чоловік,1993-11-28,Співак,Залізне,"проспект Чехова, буд. 540 кв. 001, Ананьїв, 08255",027 322 84 27,nshyian@example.net
Перебийніс,Олександр,Петрович,Чоловік,1954-07-19,Письменник,Южноукраїнськ,"сквер Східний 1-й, буд. 21 кв. 0, Рогатин, 59294",+380 49 412 00 57,andriinesterenko@example.net
Адамчук,Омелян,Миколайович,Чоловік,1991-06-25,Електрик,Полонне,"провулок Клинова, буд. 15, Голубівка, 67097",041 763-18-70,iurchenkosolomon@example.org
Євдокименко,Богдан,Володимирович,Чоловік,1982-05-18,Бізнесмен,Керч,"набережна Єлисаветградський, буд. 6, Новий Розділ, 08291",+380 24 333-81-57,marynakolodub@example.com
Гоголь-Яновський,Валентин,Іванович,Чоловік,1988-02-23,Диригент,Болград,"парк Водопровідний 2-й, буд. 90 кв. 4, Павлоград, 29770",018 52 91,bohodarkalenychenko@example.org
Щербак,Леон,Володимирович,Чоловік,2000-05-12,Фрілансер,Кременчук,"проспект Донцова Дмитра, буд. 684 кв. 3, Знам'янка, 60616",487 18 48,eibozhenkozynovii@example.net
Данченко,Спас,Сергійович,Чоловік,1963-09-22,Парфюмер,Копичинці,"провулок Мигдальна, буд. 272, Косів, 81554",646-70-97,bevzenkodmytro@example.org
Назаренко,Артем,Володимирович,Чоловік,1973-01-20,Пілот,Амвросіївка,"парк Гаріна, буд. 4, Кальміуське, 07469",063 338 57 68,zkyrylenko@example.net
Ейбоженко,Пантелеймон,Олексійович,Чоловік,1983-04-25,Конструктор,Болград,"сквер Махачкалинська, буд. 26, Берестечко, 49708",091 715 77 61,oviter@example.net
Карась,Устим,Миколайович,Чоловік,1956-02-12,Електрик,Кадіївка,"проспект Каманіна, буд. 996 кв. 0, Ямпіль, 76454",+380 (72) 512-08-85,omeliantsarenko@example.com
Андрощук,Володимир,Олексійович,Чоловік,1979-06-03,Ветеринар,Канів,"узвіз Марата 2-й, буд. 5, Гнівань, 49902",+380 66 244-02-37,svitlanaandriievych@example.org
Закусило,Яків,Олексійович,Чоловік,2007-06-13,Соціолог,Березань ,"набережна Лузанівський, буд. 575, Молочанськ, 47107",+380 42 653 48 80,pavloshtokalo@example.net
Зінкевич,Дан,Андрійович,Чоловік,1997-11-30,Патологоанатом,Кіцмань,"парк Проїзний 2-й, буд. 94, Слов'янськ, 16719",+380 (69) 397-34-33,vladyslav53@example.net
Шовкопляс,Онисим,Сергійович,Чоловік,1981-06-29,Біолог,Вінниця,"парк Ланжерон, буд. 602 кв. 27, Радомишль, 31390",+380 70 520-91-63,iryna92@example.org
Алексюк,Кирило,Володимирович,Чоловік,1959-10-28,Гірничий інженер,Гнівань,"площа Шебелінський, буд. 75 кв. 5, Сколе, 10425",004 933 18 32,ustymcherednyk@example.net
Рябченко,Лукʼян,Олексійович,Чоловік,1940-07-19,Філолог,Новий Калинів,"вулиця Тополина, буд. 851, Почаїв, 77823",599 49 45,tetianasavenko@example.com
Саєнко,Онисим,Володимирович,Чоловік,1995-03-14,Підприємець,Хуст,"сквер Пугачова, буд. 787 кв. 801, Кривий Ріг, 08491",+380 92 359 68 84,kbezditko@example.net
Ватаманюк,Зорян,Сергійович,Чоловік,1988-10-18,Графік,Долинська,"провулок Панченка, буд. 691 кв. 951, Теплодар, 16656",092 230-78-22,rromanchuk@example.net
Худобʼяк,Мирон,Олексійович,Чоловік,1979-08-04,Журналіст,Українка ,"шосе Палія Семена, буд. 275 кв. 453, Луцьк, 80725",+380 11 342 41 50,svitlana88@example.org
Дубина,Богуслав,Іванович,Чоловік,1946-07-07,Кінорежисер,Генічеськ,"набережна Таїрова, буд. 399, Заставна, 48166",477-65-96,vitalii14@example.net
Голобородько,Данило,Миколайович,Чоловік,1983-11-15,Кінокритик,Первомайський ,"вулиця Топольського, буд. 961 кв. 92, Ялта, 37876",042 62 80,fvalenko@example.com
Євдокименко,Юхим,Іванович,Чоловік,1957-03-17,Фотограф,Знам'янка,"шосе Крайня, буд. 778 кв. 074, Немирів, 40260",+380 (92) 957-89-91,mykhailynarudko@example.org
Худяк,Веніямин,Миколайович,Чоловік,1994-09-01,Етнограф,Остер ,"набережна Чорноморський 2-й, буд. 936 кв. 80, Чоп, 03444",204 10 82,tymofii89@example.com
Кащенко,Прохір,Володимирович,Чоловік,2001-12-11,Клоун,Олександрія,"парк Кустанайський 2-й, буд. 6 кв. 9, Макіївка, 08458",072 605 31 42,bandurkaoleksandr@example.com
Рубець,Назар,Олексійович,Чоловік,1955-05-23,Агроном,Київ,"площа Шостої 1-й, буд. 23, Південне , 60913",+380 (91) 297-92-18,satsiukmaryna@example.org
Іваненко,Хома,Петрович,Чоловік,1961-12-31,Кінокритик,Новгород-Сіверський,"узвіз Лазурний 1-й, буд. 60, Рівне, 41990",+380 35 034-94-25,oleksa26@example.com
Влох,Лесь,Сергійович,Чоловік,1986-07-26,Електрик,Черкаси,"сквер Західний 4-й, буд. 7, Синельникове, 40792",092 888-56-75,oisaienko@example.org
Ємець,Хома,Миколайович,Чоловік,1987-12-17,Астронавт,Ровеньки,"провулок Авіаторів, буд. 62 кв. 336, Генічеськ, 41529",+380 89 221 50 68,ieromenkoonysym@example.net
Барабаш,Франц,Сергійович,Чоловік,1945-02-01,Краєзнавець,Сторожинець,"вулиця Володі Дубініна, буд. 9, Ірпінь, 07299",+380 84 380-53-97,abramchukleontii@example.com
Сиротенко,Симон,Іванович,Чоловік,1962-03-04,Ювелір,Долинська,"вулиця 5-та Суворовська, буд. 1, Іршава, 14687",070 645-82-68,bohdan16@example.net
Вернигора,Тимофій,Андрійович,Чоловік,1966-01-06,Економіст,Ізяслав,"парк Ковалевського узвіз, буд. 24, Олександрія, 36789",028 448-98-45,iukhymvasylevych@example.net
Яковенко,Станіслав,Андрійович,Чоловік,1981-09-22,Дерун,Зміїв,"узвіз Іванова 1-й, буд. 02 кв. 4, Сміла, 88435",101-76-07,zshtepa@example.org
Деревʼянко,Назар,Олексійович,Чоловік,1983-06-13,Водій,Тиврів,"парк Утьосова, буд. 248, Дубно, 87290",+380 17 264 25 06,qiakymenko@example.net
Їжак,Франц,Миколайович,Чоловік,2007-06-22,Реабілітолог,Хрустальний,"проспект Рощева, буд. 382 кв. 5, Полонне, 12958",+380 13 071 79 20,pavlykbohuslava@example.com
Саченко,Георгій,Володимирович,Чоловік,1982-08-03,Епідеміолог,Вишневе ,"парк Клинова, буд. 9 кв. 4, Корець, 84352",+380 78 226-70-76,gmykhaliuk@example.org
Мамчур,Орест,Сергійович,Чоловік,2001-01-10,Штукатур,Погребище,"набережна Пастера, буд. 176, Калуш, 51791",005 685-25-20,dannalytvyn@example.com
Алексюк,Мирослав,Володимирович,Чоловік,2004-05-15,Хореограф,Мар'їнка,"парк Авіаційна, буд. 819 кв. 04, Алупка, 76825",048 810 58 63,zorian49@example.org
Щириця,Станіслав,Сергійович,Чоловік,2000-06-26,Астроном,Шостка,"парк Діхтієвського Віктора, буд. 0, Заводське, 88417",+380 26 716 25 36,olha53@example.org
Байрак,Стефан,Сергійович,Чоловік,1940-09-09,Піаніст,Жовква,"провулок М’ясоєдовська, буд. 898, Барвінкове, 28918",063 299-49-00,iashchenkoleopold@example.net
Шинкаренко,Михайло,Іванович,Чоловік,1985-02-26,Адвокат,Приморськ (Україна),"вулиця Селищний, буд. 57, Іловайськ, 86371",077 387-04-37,banderabohuslava@example.com
Єрошенко,Дмитро,Олексійович,Чоловік,1980-03-22,Клоун,Зоринськ,"вулиця Туристський, буд. 58, Вашківці, 78427",672 07 29,zaporozhetssemen@example.org
Килимник,Олег,Володимирович,Чоловік,1996-12-16,Золотар,Стебник,"вулиця Лесі Українки, буд. 6 кв. 9, Сєвєродонецьк, 48669",020 179-88-71,opanasartiushenko@example.net
Єрмоленко,Богдан,Олексійович,Чоловік,1996-11-03,Євнух,Почаїв,"узвіз Машинобудівний, буд. 168, Бердичів, 67374",558 78 84,orysiashakhrai@example.org
Байда,Гордій,Олексійович,Чоловік,1946-02-23,Кінокритик,Кривий Ріг,"набережна Липнева, буд. 3 кв. 294, Білопілля, 44079",170-25-23,matviienkofeofan@example.com
Хорішко,Сергій,Петрович,Чоловік,1994-04-28,Фізик,Кам'янка-Дніпровська,"сквер Амбулаторний 2-й, буд. 43 кв. 60, Зимогір'я, 15060",+380 (93) 122-52-86,amvrosii46@example.net
Базавлученко,Василь,Андрійович,Чоловік,1973-07-18,Режисер,Петрово-Красносілля,"набережна Кільцева, буд. 1, Іловайськ, 72844",911-57-84,nestorlavrenko@example.net
Чуприна,Онисим,Миколайович,Чоловік,1995-10-12,Хімік,Мирноград,"проспект 11-та ст. Великого Фонтану пляж, буд. 143 кв. 9, Суходільськ, 81312",013 051 11 58,iaryna68@example.org
Твердохліб,Болеслав,Петрович,Чоловік,1939-01-13,Співак,Болград,"площа Камишова, буд. 63, Благовіщенське, 54150",101-80-60,orynabaranyk@example.net
Дашенко,Владислав,Володимирович,Чоловік,1962-04-03,Фрілансер,Жмеринка,"проспект Докова, буд. 9, Першотравенськ, 42808",+380 47 699-63-26,dmytro36@example.org
Данькевич,Сергій,Миколайович,Чоловік,1995-05-20,Пілот,Моршин,"узвіз Кришталевий, буд. 0 кв. 8, Вільногірськ, 79602",028 135-44-03,aaron43@example.org
Рябченко,Дмитро,Олексійович,Чоловік,1990-06-17,Кіноактор,Острог,"площа Кордонна, буд. 4 кв. 8, Синельникове, 19570",690 53 70,cromanchuk@example.org
Конопленко,Ілля,Сергійович,Чоловік,1952-05-25,Програміст,Кам'янське,"шосе Олександрівський, буд. 4 кв. 1, Умань, 10872",+380 02 265 90 58,gzabarnyi@example.net
Ґалаґан,Андрій,Андрійович,Чоловік,1953-11-27,Стропальник,Петрово-Красносілля,"сквер Ремонтна, буд. 7 кв. 73, Нікополь, 33964",+380 (84) 054-26-72,venedyktpryimak@example.org
Пушкар,Веніямин,Андрійович,Чоловік,1971-06-29,Дипломат,Щастя ,"набережна Хімічний 3-й, буд. 662, Жовква, 32730",654-59-87,volodymyra92@example.com
Нестайко,Мирон,Миколайович,Чоловік,1981-05-23,Бізнесмен,Ланівці,"вулиця Красна, буд. 2 кв. 106, Тальне, 29502",+380 68 500 42 74,ivan67@example.net
Гречаник,Августин,Олексійович,Чоловік,1987-06-22,Стиліст,Носівка,"площа Маринеско узвіз, буд. 152 кв. 470, Мостиська, 64986",+380 82 938 97 23,kamillababychenko@example.com
Лавренко,Ілля,Володимирович,Чоловік,1979-04-04,Електромонтер,Радомишль,"узвіз Десятого квітня, буд. 6, Вознесенівка, 22200",950 29 95,anton56@example.org
Сич,Устим,Олексійович,Чоловік,1978-12-06,Фотограф,Хмельницький,"парк Нова, буд. 811 кв. 684, Новоукраїнка, 19688",779 93 37,nalyvaikovira@example.org
Овчаренко,Амвросій,Іванович,Чоловік,1956-08-11,Астрофізик,Фастів,"площа Щіпний, буд. 6 кв. 962, Вільногірськ, 32668",089 167-10-31,mchubai@example.com
Асаула,Гліб,Олексійович,Чоловік,1943-07-28,Модельєр,Щолкіне,"узвіз Лінія 53-тя, буд. 863 кв. 666, Біла Церква, 81559",024 863 16 60,marusiaderevianko@example.org
Гоголь-Яновський,Аарон,Андрійович,Чоловік,1957-11-24,Детектив,Першотравенськ,"парк Героїв Небесної Сотні, буд. 31 кв. 51, Новодністровськ, 25304",+380 (48) 573-96-37,nlaba@example.org
Кабаненко,Остап,Володимирович,Чоловік,2001-02-12,Сантехнік,Гадяч,"сквер Курська, буд. 921, Збараж, 41687",366 87 58,babkomykolai@example.com
Чайка,Іван,Андрійович,Чоловік,1955-08-18,Доцент,Верхівцеве,"площа Волниста, буд. 977 кв. 797, Боярка, 38241",+380 (71) 514-31-47,babiaksofiia@example.org
Удовенко,Опанас,Сергійович,Чоловік,1971-12-21,Гицель,Кам'янка (Черкаська область),"площа Мазараті, буд. 634, Рені, 98294",085 619-16-90,irena37@example.org
Андріїшин,Святослав,Іванович,Чоловік,1976-07-02,Геофізик,Моршин,"шосе Балтська дорога, буд. 92 кв. 86, Інкерман, 13159",+380 07 746-03-26,orobetsihnat@example.net
Цимбал,Онисим,Миколайович,Чоловік,1945-12-09,Клавішник,Павлоград,"провулок Митна, буд. 332, Апостолове, 69517",932 29 48,teslenkorostyslav@example.com
Баштан,Валерій,Миколайович,Чоловік,1962-09-06,Музикознавець,Кропивницький,"шосе Скляний 2-й, буд. 46, Старий Крим, 13529",+380 98 077-58-53,franchukmaryna@example.com
Корсун,Юстим,Володимирович,Чоловік,2000-09-01,Дантист,Остер ,"парк Аркадійська, буд. 69, Новгород-Сіверський, 80069",289 41 26,hennadiishamrai@example.org
Гузій,Яків,Олексійович,Чоловік,1991-02-05,Конструктор,Брянка,"шосе Трамвайний, буд. 82 кв. 8, Ватутіне, 04807",008 243 21 58,adababych@example.net
Токар,Августин,Петрович,Чоловік,1972-01-17,Стиліст,Токмак,"набережна 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 5, Олександрія, 10363",+380 (80) 803-78-86,jdanchenko@example.org
Акименко,Венедикт,Володимирович,Чоловік,1944-04-08,Євнух,Селидове,"парк Добровольського, буд. 12 кв. 83, Рубіжне, 36633",+380 37 578-16-44,varvara76@example.org
Скорик,Йосип,Сергійович,Чоловік,1953-11-07,Гірничий інженер,Ворожба,"проспект Миколаївська дорога, буд. 13 кв. 1, Жовті Води, 39943",+380 72 544-36-72,hkhomenko@example.com
Атаманюк,Руслан,Володимирович,Чоловік,1964-10-31,Сантехнік,Збараж,"площа Лінія 55-та, буд. 3, Ровеньки, 88765",+380 27 932 96 90,aarondankevych@example.com
Баранник,Веніямин,Володимирович,Чоловік,1967-08-21,Юрист,Новий Калинів,"сквер 1-й Академічний тупик, буд. 17, Скалат, 44262",045 77 27,zromanenko@example.net
Рубець,Адам,Миколайович,Чоловік,1949-08-05,Секретар,Чигирин,"вулиця Мінська, буд. 5, Феодосія, 35692",006 369-17-25,irynaabramchuk@example.org
Опанасенко,Яків,Петрович,Чоловік,1988-09-17,Кур'єр,Кролевець,"провулок Короткий, буд. 8, Чугуїв, 38216",081 902-96-49,xartymyshyn@example.org
Приймак,Пантелеймон,Олексійович,Чоловік,1976-12-21,Бібліотекар,Стебник,"сквер Неплія, буд. 449 кв. 391, Олевськ, 03607",+380 21 948 87 42,vertyporokhstepan@example.net
Шинкаренко,Владислав,Петрович,Чоловік,1952-07-08,Стоматолог,Олешки,"вулиця Тургенєва, буд. 49 кв. 05, Боярка, 21239",856-73-37,roman52@example.org
Оберемко,Богдан,Олексійович,Чоловік,1958-06-26,Етнограф,Немирів,"узвіз 6-та Суворовська, буд. 4 кв. 063, Носівка, 93331",098 878 89 94,anastasiia11@example.net
Карпа,Гліб,Іванович,Чоловік,1941-03-15,Біолог,Світлодарськ,"шосе Василя Кандинського 2-й, буд. 371 кв. 37, Погребище, 25741",+380 49 985-22-67,dannamykhailiuk@example.com
Гунько,Костянтин,Олексійович,Чоловік,1943-04-28,Музичний редактор,Дергачі,"вулиця Віри Інбер, буд. 4 кв. 84, Тячів, 38634",+380 25 521-04-99,ndemydenko@example.net
Ажажа,Кирило,Володимирович,Чоловік,2007-12-02,Різноробочий,Чернігів,"набережна Радісний, буд. 9, Шепетівка, 75346",013 022 15 45,xnikoliuk@example.org
Авраменко,Марко,Володимирович,Чоловік,1964-08-14,Підприємець,Новомиргород,"набережна Лінія 45-та, буд. 2, Шепетівка, 24849",882-36-21,adamstus@example.com
Єресько,Онисим,Олексійович,Чоловік,2000-06-12,Музикознавець,Ровеньки,"площа Лермонтовський 2-й, буд. 00 кв. 3, Новояворівськ, 56835",016 612 19 24,levko94@example.net
Башполченко,Микита,Петрович,Чоловік,1939-09-21,Дерун,Вашківці,"площа Кустанайський 2-й, буд. 701 кв. 340, Федорівка, 97121",+380 88 860-69-84,olenabaranets@example.com
Жадан,Аркадій,Сергійович,Чоловік,1979-03-20,Сценарист,Хмільник,"шосе Горбатий міст, буд. 566 кв. 493, Куп'янськ, 35500",+380 19 759-64-30,vasylynamalyshko@example.net
Жарко,Климент,Олексійович,Чоловік,1986-11-07,Нотаріус,Бахмут,"набережна Шахтинський, буд. 598 кв. 585, Ямпіль, 73907",548 52 35,danylo28@example.org
Охріменко,Опанас,Іванович,Чоловік,1969-07-21,Фізик,Батурин,"площа Балтський 8-й, буд. 47 кв. 5, Мерефа, 90932",+380 94 671-14-67,veniiamynsyrotenko@example.com
Батуринець,Олекса,Сергійович,Чоловік,1974-01-14,Палеонтолог,Бердянськ,"узвіз Степний 2-й, буд. 56 кв. 4, Івано-Франківськ, 67975",+380 91 146 62 90,nhuz@example.com
Вобла,Аврелій,Андрійович,Чоловік,2006-03-18,Продюсер,Кілія,"сквер Житомирський 4-й, буд. 46, Первомайський , 41122",636 69 84,wkonoplia@example.net
Якимчук,Спас,Олексійович,Чоловік,1995-07-26,Актор,Волочиськ,"узвіз Жолкова Бориса, буд. 00, Вознесенівка, 64256",+380 02 476-50-60,zakhar48@example.net
Гавриш,Георгій,Олексійович,Чоловік,1971-08-16,Сценарист,Горлівка,"провулок Чорноморський 10-й, буд. 362 кв. 18, Підгородне, 48086",318 47 71,ggerus@example.org
Чумаченко,Борислав,Миколайович,Чоловік,1960-08-11,Художник,Сквира,"шосе Чорноморський 1-й, буд. 12, Обухів, 32675",+380 88 833-01-80,cherednykdan@example.net
Єсипенко,Леопольд,Миколайович,Чоловік,2005-06-16,Перекладач,Антрацит ,"вулиця Флотський 2-й, буд. 9, Новий Буг, 96631",093 937-74-92,serhiizaruba@example.net
Бебешко,Ярема,Сергійович,Чоловік,1974-10-08,Візажист,Вознесенськ,"провулок Дунаєвського, буд. 3, Борщів, 22242",601 10 21,opanaszakharchenko@example.com
Ванченко,Ярослав,Сергійович,Чоловік,2001-11-03,Флорист,Кадіївка,"вулиця Василя Кандинського 4-й, буд. 2, Чорнобиль, 33376",+380 00 671-68-38,irvanetsbohuslava@example.net
Заїка,Леон,Андрійович,Чоловік,1962-10-11,Парфюмер,Буча,"вулиця Стражеска Миколи, буд. 1 кв. 344, Зборів, 57896",288-37-59,ufastenko@example.com
Жученко,Вадим,Миколайович,Чоловік,1993-04-04,Гінеколог,Скалат,"шосе Студентський 1-й, буд. 48 кв. 61, Лисичанськ, 56716",+380 07 979-26-14,iustymvashchuk@example.net
Іваненко,Онисим,Петрович,Чоловік,1961-11-29,Реабілітолог,Маріуполь,"набережна Ямчитського, буд. 02, Олешки, 29181",+380 95 865 50 82,boryslav14@example.org
Тимчук,Михайло,Андрійович,Чоловік,1997-04-06,Модельєр,Географія Вільнянська,"площа Черкаська, буд. 85, Антрацит , 83989",096 088 43 46,hermanpanchuk@example.com
Данькевич,Антон,Володимирович,Чоловік,1941-07-12,Режисер,Дніпро ,"сквер Композитора Ніщинського, буд. 15 кв. 21, Тальне, 08012",+380 86 682 68 77,amvrosii45@example.org
Саєнко,Пантелеймон,Миколайович,Чоловік,2000-03-05,Астроном,Іршава,"набережна Лермонтовський 2-й, буд. 0 кв. 86, Іллінці, 29571",040 227 58 38,qshvachka@example.org
Асаула,Олекса,Миколайович,Чоловік,1964-08-17,Хореограф,Біляївка,"проспект Сімферопольська, буд. 018, Сарни, 86977",+380 33 469-20-87,anastasiia61@example.org
Башполченко,Амвросій,Володимирович,Чоловік,1973-09-13,Маркетолог,Кальміуське,"парк Макарова, буд. 182, Ананьїв, 79830",940-00-40,hryhoriiandroshchuk@example.com
Шеремета,Ярослав,Олексійович,Чоловік,1960-12-29,Астронавт,Деражня,"провулок Каманіна, буд. 5, Тернівка , 43361",+380 32 577-81-06,havrylenkoielysei@example.org
Рябошапка,Соломон,Миколайович,Чоловік,2001-07-09,Астронавт,Решетилівка,"набережна Лінія 24-та, буд. 917 кв. 1, Корюківка, 51577",+380 09 395-53-74,zhodunok@example.org
Ткаченко,Вʼячеслав,Миколайович,Чоловік,2003-04-21,Будник,Бібрка,"шосе Балтська дорога, буд. 621, Пустомити, 52604",057 065 90 28,dmytroievtushenko@example.org
Венгринович,Ярема,Іванович,Чоловік,1976-10-22,Співак,Чернівці,"шосе Солонцюватий, буд. 1, Лиман , 28347",031 260-11-38,tdurdynets@example.com
